stadium_Split,stadium_abbr,stadium_Hand,stadium_Year,stadium_G,stadium_PA,stadium_AB,stadium_R,stadium_H,stadium_2B,stadium_3B,stadium_HR,stadium_RBI,stadium_SB,stadium_CS,stadium_BB,stadium_SO,stadium_BA,stadium_OBP,stadium_SLG,stadium_OPS,stadium_TB,stadium_GDP,stadium_HBP,stadium_SH,stadium_SF,stadium_IBB,stadium_ROE,stadium_BAbip,stadium_tOPS+,stadium_sOPS+,stadium_stadium
s RHB@LAA-Angel Stad,LAA,R,2017.0,162.0,3721.0,3384.0,411.0,832.0,144.0,5.0,132.0,388.0,55.0,22.0,267.0,736.0,0.24600000000000002,0.306,0.408,0.715,1382.0,89.0,37.0,10.0,20.0,11.0,38.0,0.276,90.0,100.0,Angel Stadium
as LHB@LAA-Angel Stad,LAA,L,2017.0,162.0,2304.0,2085.0,280.0,510.0,97.0,8.0,70.0,270.0,41.0,18.0,179.0,503.0,0.245,0.309,0.4,0.7090000000000001,833.0,40.0,22.0,4.0,14.0,13.0,12.0,0.28800000000000003,89.0,100.0,Angel Stadium
as RHB@TEX-Rangers Bpk,TEX,R,2017.0,162.0,3704.0,3288.0,497.0,887.0,190.0,10.0,131.0,472.0,66.0,19.0,323.0,723.0,0.27,0.341,0.45299999999999996,0.795,1490.0,92.0,50.0,13.0,30.0,10.0,36.0,0.307,112.0,100.0,Globe Life Park in Arlington
as LHB@TEX-Rangers Bpk,TEX,L,2017.0,161.0,2589.0,2263.0,389.0,585.0,104.0,7.0,108.0,370.0,40.0,20.0,275.0,538.0,0.259,0.34600000000000003,0.45399999999999996,0.8,1027.0,50.0,34.0,7.0,10.0,9.0,28.0,0.293,113.0,100.0,Globe Life Park in Arlington
as LHB@ARI-Chase Field,ARI,L,2017.0,161.0,2544.0,2278.0,284.0,560.0,122.0,18.0,73.0,267.0,33.0,7.0,224.0,605.0,0.24600000000000002,0.315,0.41100000000000003,0.726,937.0,34.0,12.0,18.0,12.0,13.0,22.0,0.302,94.0,100.0,Chase Field
as RHB@ARI-Chase Field,ARI,R,2017.0,162.0,3667.0,3256.0,519.0,854.0,217.0,24.0,142.0,496.0,63.0,17.0,330.0,868.0,0.262,0.336,0.475,0.81,1545.0,68.0,38.0,24.0,18.0,34.0,30.0,0.314,115.0,100.0,Chase Field
as RHB@ATL-SunTrust Pk,ATL,R,2017.0,162.0,3329.0,2987.0,397.0,779.0,168.0,9.0,92.0,379.0,51.0,13.0,245.0,660.0,0.261,0.32299999999999995,0.415,0.738,1241.0,76.0,38.0,40.0,18.0,25.0,35.0,0.305,97.0,100.0,SunTrust Park
as LHB@ATL-SunTrust Pk,ATL,L,2017.0,162.0,2924.0,2604.0,370.0,700.0,148.0,17.0,82.0,358.0,28.0,21.0,259.0,552.0,0.26899999999999996,0.34,0.433,0.773,1128.0,42.0,30.0,16.0,15.0,25.0,14.0,0.311,107.0,100.0,SunTrust Park
as RHB@BAL-Camden Yards,BAL,R,2017.0,162.0,4371.0,4014.0,561.0,1066.0,183.0,8.0,184.0,541.0,36.0,18.0,297.0,897.0,0.266,0.32,0.45299999999999996,0.773,1817.0,109.0,34.0,6.0,20.0,7.0,38.0,0.299,105.0,100.0,Oriole Park at Camden Yards
as LHB@BAL-Camden Yards,BAL,L,2017.0,161.0,1945.0,1700.0,241.0,446.0,86.0,4.0,78.0,234.0,14.0,13.0,211.0,403.0,0.262,0.348,0.455,0.8029999999999999,774.0,34.0,18.0,3.0,12.0,11.0,8.0,0.299,114.0,100.0,Oriole Park at Camden Yards
