batter,batting_hand_0.4999999991,name_last,name_first,key_mlbam,key_bbref,key_fangraphs,key_retro
112526.0,R,colon,bartolo,112526,colonba01,375,colob001
115629.0,R,hawkins,latroy,115629,hawkila01,729,hawkl001
116338.0,R,hunter,torii,116338,hunteto01,731,huntt001
120074.0,L,ortiz,david,120074,ortizda01,745,ortid001
121347.0,R,rodriguez,alex,121347,rodrial01,1274,rodra001
133380.0,R,ramirez,aramis,133380,ramirar01,1002,ramia001
134181.0,R,beltre,adrian,134181,beltrad01,639,belta001
136860.0,L,beltran,carlos,136860,beltrca01,589,beltc001
150029.0,R,werth,jayson,150029,werthja01,1327,wertj001
150212.0,R,cuddyer,michael,150212,cuddymi01,1534,cuddm001
150229.0,L,pierzynski,a. j.,150229,pierza.01,746,piera001
150302.0,L,marquis,jason,150302,marquja01,105,marqj001
150359.0,R,burnett,a. j.,150359,burnea.01,512,burna001
217100.0,R,bloomquist,willie,217100,bloomwi01,1066,bloow001
218596.0,R,hudson,tim,218596,hudsoti01,921,hudst001
276519.0,L,rollins,jimmy,276519,rolliji01,971,rollj001
276520.0,R,arroyo,bronson,276520,arroybr01,978,arrob001
279571.0,R,belisle,matt,279571,belisma01,1837,belim001
279824.0,L,buehrle,mark,279824,buehrma01,225,buehm001
282332.0,L,sabathia,cc,282332,sabatc.01,404,sabac001
285064.0,R,vogelsong,ryan,285064,vogelry01,1011,voger001
285078.0,L,hamilton,josh,285078,hamiljo03,1875,hamij003
285079.0,R,dickey,r. a.,285079,dicker.01,1245,dickr001
329092.0,L,choate,randy,329092,choatra01,813,choar001
346793.0,L,affeldt,jeremy,346793,affelje01,583,affej001
346798.0,R,lohse,kyle,346798,lohseky01,739,lohsk001
346874.0,R,uribe,juan,346874,uribeju01,454,uribj002
400085.0,L,suzuki,ichiro,400085,suzukic01,1101,suzui001
400121.0,L,martinez,victor,400121,martivi01,393,martv001
400284.0,L,utley,chase,400284,utleych01,1679,utlec001
405395.0,R,pujols,albert,405395,pujolal01,1177,pujoa001
407781.0,R,byrd,marlon,407781,byrdma01,950,byrdm001
407793.0,R,lackey,john,407793,lackejo01,1507,lackj001
407812.0,R,holliday,matt,407812,hollima01,1873,hollm001
407822.0,L,de la rosa,jorge,407822,rosajo01,2047,delaj001
407862.0,R,johnson,reed,407862,johnsre02,1702,johnr008
407890.0,R,lewis,colby,407890,lewisco01,1259,lewic001
407893.0,L,teixeira,mark,407893,teixema01,1281,teixm001
407908.0,R,peralta,joel,407908,peraljo01,2332,peraj002
408042.0,R,laird,gerald,408042,lairdge01,1698,lairg001
408045.0,L,mauer,joe,408045,mauerjo01,1857,mauej001
408047.0,L,morneau,justin,408047,morneju01,1737,mornj001
408234.0,R,cabrera,miguel,408234,cabremi01,1744,cabrm001
408236.0,L,gonzalez,adrian,408236,gonzaad01,1908,gonza003
408241.0,R,peavy,jake,408241,peavyja01,1051,peavj001
408242.0,R,nieves,wil,408242,nievewi01,1556,nievw001
408252.0,R,phillips,brandon,408252,phillbr01,791,philb001
408299.0,R,infante,omar,408299,infanom01,1609,infao001
408307.0,L,crawford,carl,408307,crawfca02,1201,crawc002
408314.0,L,reyes,jose,408314,reyesjo01,1736,reyej001
421685.0,R,harang,aaron,421685,haranaa01,1451,haraa001
424144.0,L,perez,oliver,424144,perezol01,1514,pereo002
424325.0,R,ross,david,424325,rossda01,1551,rossd001
424825.0,L,crisp,coco,424825,crispco01,1572,crisc001
425386.0,R,guthrie,jeremy,425386,guthrje01,2072,guthj001
425492.0,L,madson,ryan,425492,madsory01,1852,madsr001
425496.0,R,ross,cody,425496,rossco01,1760,rossc001
425509.0,R,peralta,jhonny,425509,peraljh01,1738,peraj001
425532.0,R,williams,jerome,425532,willije01,1137,willj003
425543.0,R,wilson,josh,425543,wilsojo03,2102,wilsj003
425549.0,R,barmes,clint,425549,barmecl01,1830,barmc001
425557.0,R,baker,jeff,425557,bakerje03,2073,bakej001
425560.0,L,laroche,adam,425560,larocad01,1904,laroa001
425567.0,R,rios,alex,425567,riosal01,2090,riosa002
425626.0,L,capuano,chris,425626,capuach01,1701,capuc001
425657.0,L,lopez,javier,425657,lopezja02,1663,lopej002
425664.0,R,victorino,shane,425664,victosh01,1677,victs001
425766.0,L,loney,james,425766,loneyja01,4556,lonej001
425772.0,R,mathis,jeff,425772,mathije01,3448,mathj001
425783.0,L,choo,shin-soo,425783,choosh01,3174,choos001
425784.0,R,rivera,rene,425784,riverre01,3648,river003
425794.0,R,wainwright,adam,425794,wainwad01,2233,waina001
425796.0,R,francoeur,jeff,425796,francje02,4792,franj004
425834.0,R,upton,b. j.,425834,uptonbj01,5015,uptob001
